Date,Open,High,Low,Close,Volume
2026-03-03,185.81,190.39,184.49,189.31,61473377
2026-03-04,188.3,189.44,187.11,188.35,88949309
2026-03-05,188.07,189.4,186.99,188.52,74217965
2026-03-06,189.41,190.02,188.84,189.54,88204579
2026-03-09,189.64,190.91,187.25,187.85,58163951
2026-03-10,187.89,188.8,186.18,187.95,105878616
2026-03-11,188.64,189.57,186.85,188.04,69724729
2026-03-12,187.98,189.28,183.37,184.21,60765239
2026-03-13,183.74,187.33,182.95,186.57,93117528
2026-03-16,186.28,189.45,184.93,188.01,93366020
2026-03-17,188.6,190.77,185.89,186.7,100675379
2026-03-18,187.04,187.8,185.4,186.41,88793167
2026-03-19,186.1,188.17,185.28,187.64,67077862
2026-03-20,187.75,189.19,185.6,187.14,92038633
2026-03-23,186.52,186.95,186.05,186.69,80582806
2026-03-24,185.35,187.39,182.67,183.56,52282300
2026-03-25,183.36,186.19,182.55,184.87,93667261
2026-03-26,184.62,186.02,183.11,185.24,94771351
2026-03-27,184.81,188.16,182.55,185.95,49814966
2026-03-30,185.65,186.81,181.38,182.66,47620647
2026-03-31,182.78,187.23,182.12,186.41,56115036
2026-04-01,187.17,187.94,186.13,186.85,62121248
2026-04-02,187.92,188.4,185.74,186.08,59851790
2026-04-03,186.21,192.46,184.45,190.76,53120218
2026-04-06,191.63,192.28,190.23,190.75,100447038
2026-04-07,190.62,190.98,187.18,187.55,44047432
2026-04-08,187.44,188.85,185.69,186.73,74076057
2026-04-09,186.39,187.26,180.46,181.77,47015180
2026-04-10,181.08,184.64,180.13,184.16,97107017
2026-04-13,183.33,183.83,182.91,183.34,68830895
